name,manufacturer,price,series,microarchitecture,coreFamily,socket,coreCount,threadCount,baseClockGHz,boostClockGHz,l2CacheMBs,l3CacheMBs,tdpWatts,integratedGraphics,memoryMaxGBs,supportsEcc,includesCooler,hasSmt,smtType,URL
AMD Ryzen 7 9800X3D,AMD,$454.99 ,AMD Ryzen 7,Zen 5,Granite Ridge,AM5,8,16,4.7,5.2,8 MB,96 MB,120,Radeon,192 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof
AMD Ryzen 7 7800X3D,AMD,$365.95+,AMD Ryzen 7,Zen 4,Raphael,AM5,8,16,4.2,5,8 MB,96 MB,120,Radeon,128 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof
AMD Ryzen 5 9600X,AMD,$194.95 ,AMD Ryzen 5,Zen 5,Granite Ridge,AM5,6,12,3.9,5.4,6 MB,32 MB,65,Radeon,192 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof
AMD Ryzen 5 7600X,AMD,$177.00 ,AMD Ryzen 5,Zen 4,Raphael,AM5,6,12,4.7,5.3,6 MB,32 MB,105,Radeon,128 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof
AMD Ryzen 9 9950X3D,AMD,$679.99 ,AMD Ryzen 9,Zen 5,Granite Ridge,AM5,16,32,4.3,5.7,16 MB,128 MB,170,Radeon,192 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof
AMD Ryzen 5 5500,AMD,$74.97 ,AMD Ryzen 5,Zen 3,Cezanne,AM4,6,12,3.6,4.2,3 MB,16 MB,65,None,128 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box
AMD Ryzen 7 9700X,AMD,$294.99+,AMD Ryzen 7,Zen 5,Granite Ridge,AM5,8,16,3.8,5.5,8 MB,32 MB,65,Radeon,192 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof
AMD Ryzen 7 7700X,AMD,$246.25 ,AMD Ryzen 7,Zen 4,Raphael,AM5,8,16,4.5,5.4,8 MB,32 MB,105,Radeon,128 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof
AMD Ryzen 5 5600,AMD,$145.99 ,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,12,3.5,4.4,3 MB,32 MB,65,None,128 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box
AMD Ryzen 7 5800X,AMD,$214.95 ,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,16,3.8,4.7,4 MB,32 MB,105,None,128 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof
