name,price,manufacturer,heightMm,supportedSockets,fanRPM,noiseLevelDb,noiseLevelAverageDb,color,isWaterCooled,isFanless,URL
Thermalright Peerless Assassin 120 SE,$34.90 ,Thermalright,155,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",1550,25.6,25.6,Black / Silver,FALSE,FALSE,https://pcpartpicker.com/product/hYxRsY/thermalright-peerless-assassin-120-se-6617-cfm-cpu-cooler-pa120-se-d3
ARCTIC Liquid Freezer III Pro 360,$89.99 ,ARCTIC,68,"AM4, AM5, LGA1700, LGA1851",600 - 3000,N/A,0,Black,TRUE,FALSE,https://pcpartpicker.com/product/v2kqqs/arctic-liquid-freezer-iii-pro-360-77-cfm-liquid-cpu-cooler-acfre00180a
Cooler Master Hyper 212 Black Edition,$19.98 ,Cooler Master,159,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",650 - 2000,6.5 - 26,16.25,Black,FALSE,FALSE,https://pcpartpicker.com/product/HyTPxr/cooler-master-hyper-212-black-edition-42-cfm-cpu-cooler-rr-212s-20pk-r1
Thermalright Aqua Elite V3,$54.90 ,Thermalright,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",1500,25.6,25.6,Black,TRUE,FALSE,https://pcpartpicker.com/product/ZQBzK8/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-360-black-v3
Corsair NAUTILUS 360 RS ARGB,$109.99 ,Corsair,N/A,"AM4, AM5, LGA1700, LGA1851",2100,34,34,Black,TRUE,FALSE,https://pcpartpicker.com/product/DhsV3C/corsair-nautilus-360-rs-argb-7437-cfm-liquid-cpu-cooler-cw-9060093-ww
ARCTIC Liquid Freezer III Pro A-RGB 360,$98.99 ,ARCTIC,68,"AM4, AM5, LGA1700, LGA1851",600 - 3000,N/A,0,Black,TRUE,FALSE,https://pcpartpicker.com/product/Xh9nTW/arctic-liquid-freezer-iii-pro-a-rgb-360-77-cfm-liquid-cpu-cooler-acfre00184a
Thermalright Phantom Spirit 120 SE ARGB,$37.90 ,Thermalright,154,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",1500,25.6,25.6,Black / Silver,FALSE,FALSE,https://pcpartpicker.com/product/MzMMnQ/thermalright-phantom-spirit-120-se-argb-6617-cfm-cpu-cooler-ps120se-argb
Thermalright Assassin X 120 Refined SE,$17.89 ,Thermalright,148,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",1550,25.6,25.6,Black / Silver,FALSE,FALSE,https://pcpartpicker.com/product/q6H7YJ/thermalright-assassin-x-120-refined-se-6617-cfm-cpu-cooler-ax120-se-d3
ARCTIC Liquid Freezer III Pro A-RGB 360,$105.49 ,ARCTIC,68,"AM4, AM5, LGA1700, LGA1851",600 - 3000,N/A,0,White,TRUE,FALSE,https://pcpartpicker.com/product/hYXMnQ/arctic-liquid-freezer-iii-pro-a-rgb-360-77-cfm-liquid-cpu-cooler-acfre00188a
Noctua NH-D15 chromax.black,$139.94 ,Noctua,165,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",300 - 1500,19.2 - 24.6,21.9,Black,FALSE,FALSE,https://pcpartpicker.com/product/84MTwP/noctua-nh-d15-chromaxblack-8252-cfm-cpu-cooler-nh-d15-chromaxblack
be quiet! Dark Rock Pro 5,$89.90 ,be quiet!,168,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",1300 - 2000,8.9 - 23.3,16.1,Black,FALSE,FALSE,https://pcpartpicker.com/product/LyyH99/be-quiet-dark-rock-pro-5-cpu-cooler-bk036
Thermalright Aqua Elite V3,$44.90 ,Thermalright,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",1500,25.6,25.6,Black,TRUE,FALSE,https://pcpartpicker.com/product/BvmNnQ/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-240-black-v3
ARCTIC Liquid Freezer III Pro,$75.98 ,ARCTIC,68,"AM4, AM5, LGA1700, LGA1851",600 - 3000,N/A,0,Black,TRUE,FALSE,https://pcpartpicker.com/product/zn8Pxr/arctic-liquid-freezer-iii-pro-77-cfm-liquid-cpu-cooler-acfre00178a
Corsair NAUTILUS 360 RS ARGB,$119.99 ,Corsair,N/A,"AM4, AM5, LGA1700, LGA1851",2100,34,34,White,TRUE,FALSE,https://pcpartpicker.com/product/CgYRsY/corsair-nautilus-360-rs-argb-7437-cfm-liquid-cpu-cooler-cw-9060095-ww
Noctua NH-D15,$129.94 ,Noctua,165,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",300 - 1500,19.2 - 24.6,21.9,N/A,FALSE,FALSE,https://pcpartpicker.com/product/4vzv6h/noctua-nh-d15-825-cfm-cpu-cooler-nh-d15
Thermalright Phantom Spirit 120 SE,$35.90 ,Thermalright,154,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",1500,25.6,25.6,Black / Silver,FALSE,FALSE,https://pcpartpicker.com/product/GpbRsY/thermalright-phantom-spirit-120-se-6617-cfm-cpu-cooler-ps120se
Corsair iCUE LINK TITAN 360 RX LCD,$194.99 ,Corsair,N/A,"AM4, AM5, LGA1700, LGA1851",300 - 2100,Oct-36,23,Black,TRUE,FALSE,https://pcpartpicker.com/product/TtXV3C/corsair-icue-link-titan-360-rx-lcd-735-cfm-liquid-cpu-cooler-cw-9061023-ww
ARCTIC Freezer 36,$44.19 ,ARCTIC,159,"AM4, AM5, LGA1700, LGA1851",200 - 1800,N/A,0,Black,FALSE,FALSE,https://pcpartpicker.com/product/N6bRsY/arctic-freezer-36-cpu-cooler-acfre00123a
NZXT Kraken 240,$89.99 ,NZXT,56,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",500 - 1800,17.9 - 30.6,24.25,Black,TRUE,FALSE,https://pcpartpicker.com/product/LDqrxr/nzxt-kraken-240-7802-cfm-liquid-cpu-cooler-rl-kn240-b1
Cooler Master Hyper 212 Spectrum V3,$16.49 ,Cooler Master,152,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",650 - 1750,27.2,27.2,Black / Silver,FALSE,FALSE,https://pcpartpicker.com/product/jgbRsY/cooler-master-hyper-212-spectrum-v3-7193-cfm-cpu-cooler-rr-s4na-17pa-r1
AMD Wraith Prism,N/A,AMD,93,"AM4, AM5",2800,42,42,N/A,FALSE,FALSE,https://pcpartpicker.com/product/3WfxFT/amd-wraith-prism-2800-cfm-cpu-cooler-199-999888
NZXT Kraken Elite 360 RGB (2024),$279.95 ,NZXT,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",500 - 2400,30,30,White,TRUE,FALSE,https://pcpartpicker.com/product/pjwmP6/nzxt-kraken-elite-360-rgb-2024-7512-cfm-liquid-cpu-cooler-rl-kr36e-w2
Thermalright Peerless Assassin 120 SE WHITE ARGB,$36.90 ,Thermalright,155,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",1550,25.6,25.6,White,FALSE,FALSE,https://pcpartpicker.com/product/xMLFf7/thermalright-peerless-assassin-120-se-white-argb-6617-cfm-cpu-cooler-pa120-se-white-argb
ID-COOLING SE-214-XT ARGB,$17.98 ,ID-COOLING,150,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",500 - 1500,13.8 - 30.5,22.15,Black,FALSE,FALSE,https://pcpartpicker.com/product/Zr8bt6/id-cooling-se-214-xt-argb-682-cfm-cpu-cooler-se-214-xt-argb
Cooler Master MasterLiquid 360L Core ARGB,$67.98 ,Cooler Master,47,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",350 - 1750,27.2,27.2,Black,TRUE,FALSE,https://pcpartpicker.com/product/jBrqqs/cooler-master-masterliquid-360l-core-argb-liquid-cpu-cooler-mlw-d36m-a18pz-r1
