name,price,manufacturer,interfaceType,requiredPowerConnectors,LengthMm,CaseExpansionSlotWidth,TotalSlotWidth,GraphicsProcessor,VramGBs,MemoryType,CoreClockMHz,BoostClockMHz,TdpWatts,Color,CoolingType,HdmiPortCount,DisplayPortCount,profile,URL
MSI GeForce RTX 3060 Ventus 2X 12G,$269.99 ,MSI,PCIe x16,1 x PCIe 8-pin,235,2,2,GeForce RTX 3060 12GB,12,GDDR6,1320,1777,170,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/pD8bt6/msi-geforce-rtx-3060-ventus-2x-12g-geforce-rtx-3060-12gb-12-gb-video-card-rtx3060ventus2x12goc
Asus PRIME,$749.99 ,Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,306,2,3,GeForce RTX 5070 Ti,16,GDDR7,2300,2482,300,Black / White,3 Fans,1,3,Standard,https://pcpartpicker.com/product/Cpbypg/asus-prime-geforce-rtx-5070-ti-16-gb-video-card-prime-rtx5070ti-16g
Sapphire PULSE,$384.99 ,Sapphire,PCIe x16,1 x PCIe 8-pin,240,2,3,Radeon RX 9060 XT,16,GDDR6,2220,3290,170,Black,2 Fans,2,1,Standard,https://pcpartpicker.com/product/w2WmP6/sapphire-pulse-radeon-rx-9060-xt-16-gb-video-card-11350-03-20g
PowerColor Reaper,$369.99 ,PowerColor,PCIe x16,1 x PCIe 8-pin,200,2,2,Radeon RX 9060 XT,16,GDDR6,2220,3230,160,Black,2 Fans,1,2,Standard,https://pcpartpicker.com/product/fzh2FT/powercolor-reaper-radeon-rx-9060-xt-16-gb-video-card-rx9060xt-16g-a
Gigabyte WINDFORCE OC SFF,$539.99 ,Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,282,2,3,GeForce RTX 5070,12,GDDR7,2160,2542,250,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/PxG2FT/gigabyte-windforce-oc-sff-geforce-rtx-5070-12-gb-video-card-gv-n5070wf3oc-12gd
Gigabyte GAMING OC,$679.99 ,Gigabyte,PCIe x16,3 x PCIe 8-pin,288,2,3,Radeon RX 9070 XT,16,GDDR6,2520,3060,304,Black,3 Fans,2,2,Standard,https://pcpartpicker.com/product/h7RnTW/gigabyte-gaming-oc-radeon-rx-9070-xt-16-gb-video-card-gv-r9070xtgaming-oc-16gd
Asus ROG Astral OC,"$3,359.00 ",Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,358,2,4,GeForce RTX 5090,32,GDDR7,2010,2610,575,Black / Silver,4 Fans,2,3,Standard,https://pcpartpicker.com/product/WGG2FT/asus-rog-astral-oc-geforce-rtx-5090-32-gb-video-card-rog-astral-rtx5090-o32g-gaming
ASRock Challenger,$599.99 ,ASRock,PCIe x16,2 x PCIe 8-pin,290,2,3,Radeon RX 9070 XT,16,GDDR6,2400,2970,304,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/Q8sMnQ/asrock-challenger-radeon-rx-9070-xt-16-gb-video-card-rx9070xt-cl-16g
Sapphire PULSE,$649.99 ,Sapphire,PCIe x16,2 x PCIe 8-pin,320,3,3,Radeon RX 9070 XT,16,GDDR6,2400,2970,304,Black,3 Fans,2,2,Standard,https://pcpartpicker.com/product/Bvjv6h/sapphire-pulse-radeon-rx-9070-xt-16-gb-video-card-11348-03-20g
MSI SHADOW 2X OC,$274.99 ,MSI,PCIe x16,1 x PCIe 8-pin,197,2,2,GeForce RTX 5060,8,GDDR7,2280,2535,155,Black / Silver,2 Fans,1,3,Standard,https://pcpartpicker.com/product/Xwkqqs/msi-shadow-2x-oc-geforce-rtx-5060-8-gb-video-card-rtx-5060-8g-shadow-2x-oc
PNY OC,$999.99 ,PNY,PCIe x16,1 x PCIe 16-pin 12VHPWR,329,3,3,GeForce RTX 5080,16,GDDR7,2300,2730,360,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/7z7MnQ/pny-oc-geforce-rtx-5080-16-gb-video-card-vcg508016tfxpb1-o
XFX Swift OC,$389.99 ,XFX,PCIe x16,1 x PCIe 8-pin,290,2,3,Radeon RX 9060 XT,16,GDDR6,2220,3320,160,Black,3 Fans,1,2,Standard,https://pcpartpicker.com/product/cD7MnQ/xfx-swift-oc-radeon-rx-9060-xt-16-gb-video-card-rx-96ts316b7
Gigabyte WINDFORCE SFF,$749.99 ,Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,304,2,3,GeForce RTX 5070 Ti,16,GDDR7,2452,N/A,300,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/8PFCmG/gigabyte-windforce-sff-geforce-rtx-5070-ti-16-gb-video-card-gv-n507twf3-16gd
Asus PRIME,$429.99 ,Asus,PCIe x16,1 x PCIe 8-pin,304,2,3,GeForce RTX 5060 Ti,16,GDDR7,2410,2602,180,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/M64Pxr/asus-prime-geforce-rtx-5060-ti-16-gb-video-card-prime-rtx5060ti-16g
Intel Limited Edition,$249.99 ,Intel,PCIe x16,1 x PCIe 8-pin,272,2,2,Arc B580,12,GDDR6,2670,N/A,190,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/Kt62FT/intel-limited-edition-arc-b580-12-gb-video-card-31p06hb0ba
