name,price,manufacturer,formFactorInches,interfaceType,sizeTBs,RPM,cache,URL
Seagate Barracuda Compute,$71.07 ,Seagate,3.5,SATA 6.0 Gb/s,2,7200,256,https://pcpartpicker.com/product/mwrYcf/seagate-barracuda-computer-2-tb-35-7200rpm-internal-hard-drive-st2000dm008
Seagate BarraCuda,$89.99 ,Seagate,3.5,SATA 6.0 Gb/s,4,5400,256,https://pcpartpicker.com/product/jD3H99/seagate-barracuda-4tb-35-5400rpm-internal-hard-drive-st4000dm004
Seagate Exos M,$659.99 ,Seagate,3.5,SATA 6.0 Gb/s,30,7200,N/A,https://pcpartpicker.com/product/3NWmP6/seagate-exos-m-30-tb-35-7200-rpm-internal-hard-drive-st30000nm004k
Western Digital Caviar Blue,$59.99 ,Western Digital,3.5,SATA 6.0 Gb/s,1,7200,64,https://pcpartpicker.com/product/MwW9TW/western-digital-internal-hard-drive-wd10ezex
Seagate BarraCuda,$299.99 ,Seagate,3.5,SATA 6.0 Gb/s,24,7200,512,https://pcpartpicker.com/product/Xdvscf/seagate-barracuda-24-tb-35-7200-rpm-internal-hard-drive-st24000dm001
Seagate Barracuda Compute,$139.99 ,Seagate,3.5,SATA 6.0 Gb/s,8,5400,256,https://pcpartpicker.com/product/qLRzK8/seagate-barracuda-compute-8-tb-35-7200rpm-internal-hard-drive-st8000dmz04
Seagate BarraCuda,$58.00 ,Seagate,3.5,SATA 6.0 Gb/s,1,7200,64,https://pcpartpicker.com/product/44Gj4D/seagate-barracuda-1tb-35-7200rpm-internal-hard-drive-st1000dm010
Seagate Exos M,N/A,Seagate,3.5,SATA 6.0 Gb/s,36,7200,N/A,https://pcpartpicker.com/product/7ssMnQ/seagate-exos-m-36-tb-35-7200-rpm-internal-hard-drive-st36000nm003k
Seagate IronWolf NAS,$114.99 ,Seagate,3.5,SATA 6.0 Gb/s,4,5400,256,https://pcpartpicker.com/product/6FQcCJ/seagate-ironwolf-nas-4-tb-35-5400-rpm-internal-hard-drive-st4000vn006
Western Digital Blue,$65.98 ,Western Digital,3.5,SATA 6.0 Gb/s,2,7200,256,https://pcpartpicker.com/product/gHNxFT/western-digital-wd-blue-2-tb-35-7200rpm-internal-hard-drive-wd20ezbx
Western Digital Blue,$72.99 ,Western Digital,3.5,SATA 6.0 Gb/s,4,5400,256,https://pcpartpicker.com/product/9wVmP6/western-digital-wd-blue-4-tb-35-5400rpm-internal-hard-drive-wd40ezaz
Seagate IronWolf NAS,$179.99 ,Seagate,3.5,SATA 6.0 Gb/s,8,7200,256,https://pcpartpicker.com/product/sD848d/seagate-ironwolf-8-tb-35-7200rpm-internal-hard-drive-st8000vn004
Seagate SuperSpeed HDD,N/A,Seagate,2.5,SATA 6.0 Gb/s,1,5400,64,https://pcpartpicker.com/product/vhCwrH/seagate-internal-hard-drive-stbd1000400
Seagate BarraCuda,$63.46+,Seagate,3.5,SATA 6.0 Gb/s,2,7200,64,https://pcpartpicker.com/product/CbL7YJ/seagate-barracuda-2tb-35-7200rpm-internal-hard-drive-st2000dm006
Toshiba HDKBB96,$33.95+,Toshiba,2.5,SATA 6.0 Gb/s,1,5400,8,https://pcpartpicker.com/product/7WYLrH/toshiba-1-tb-25-5400rpm-internal-hard-drive-hdkbb96
Seagate Barracuda Compute,$62.99+,Seagate,3.5,SATA 6.0 Gb/s,2,7200,256,https://pcpartpicker.com/product/BcQG3C/seagate-barracuda-compute-2-tb-35-7200rpm-internal-hard-drive-st2000dmz08dm008
Seagate BarraCuda,$41.28+,Seagate,3.5,SATA 6.0 Gb/s,1,7200,64,https://pcpartpicker.com/product/dCxfrH/seagate-internal-hard-drive-st1000dm003
Seagate IronWolf Pro NAS,$299.99 ,Seagate,3.5,SATA 6.0 Gb/s,12,7200,256,https://pcpartpicker.com/product/FqmNnQ/seagate-ironwolf-pro-nas-12-tb-35-7200-rpm-internal-hard-drive-st12000nt001
Western Digital Red Plus,$99.99 ,Western Digital,3.5,SATA 6.0 Gb/s,4,5400,256,https://pcpartpicker.com/product/xBstt6/western-digital-red-plus-4-tb-35-5400-rpm-internal-hard-drive-wd40efpx
Seagate Surveillance HDD,$89.25+,Seagate,3.5,SATA 6.0 Gb/s,2,5400,64,https://pcpartpicker.com/product/T7PzK8/seagate-internal-hard-drive-st2000vx003
Western Digital Red Plus,$179.00 ,Western Digital,3.5,SATA 6.0 Gb/s,8,5640,256,https://pcpartpicker.com/product/GCn9TW/western-digital-red-plus-8-tb-35-5640-rpm-internal-hard-drive-wd80efpx
Western Digital WD_BLACK,$269.99 ,Western Digital,3.5,SATA 6.0 Gb/s,10,7200,512,https://pcpartpicker.com/product/psHqqs/western-digital-wd_black-10-tb-35-7200-rpm-internal-hard-drive-wd102fzbx
Toshiba MK3276GSX,$61.59+,Toshiba,2.5,SATA 3.0 Gb/s,0.32,5400,8,https://pcpartpicker.com/product/skMFf7/toshiba-internal-hard-drive-mk3276gsx
Western Digital Scorpio Blue,$17.87+,Western Digital,2.5,SATA 3.0 Gb/s,0.25,5400,8,https://pcpartpicker.com/product/qTfp99/western-digital-internal-hard-drive-wd2500bpvt
Western Digital WD_BLACK,$169.88+,Western Digital,3.5,SATA 6.0 Gb/s,4,7200,256,https://pcpartpicker.com/product/dGHRsY/western-digital-wd_black-4-tb-35-7200rpm-internal-hard-drive-wd4005fzbx
Seagate IronWolf Pro NAS,$379.99 ,Seagate,3.5,SATA 6.0 Gb/s,20,7200,256,https://pcpartpicker.com/product/WsH7YJ/seagate-ironwolf-pro-nas-20-tb-35-7200-rpm-internal-hard-drive-st20000nt001
Seagate Barracuda Compute,$147.99+,Seagate,3.5,SATA 6.0 Gb/s,8,5400,256,https://pcpartpicker.com/product/2ycG3C/seagate-barracuda-compute-8-tb-35-5400rpm-internal-hard-drive-st8000dm004
Western Digital WD Red Pro,$499.99 ,Western Digital,3.5,SATA 6.0 Gb/s,26,7200,512,https://pcpartpicker.com/product/pkbypg/western-digital-wd-red-pro-26-tb-35-7200-rpm-internal-hard-drive-wd260kfgx
Seagate IronWolf Pro,N/A,Seagate,3.5,SATA 6.0 Gb/s,30,7200,512,https://pcpartpicker.com/product/GGwD4D/seagate-ironwolf-pro-30-tb-35-7200-rpm-internal-hard-drive-st30000nt011
Western Digital Blue,$59.99 ,Western Digital,3.5,SATA 6.0 Gb/s,3,5400,256,https://pcpartpicker.com/product/kcgFf7/western-digital-wd-blue-3-tb-35-5400rpm-internal-hard-drive-wd30ezaz
Seagate IronWolf Pro,$499.99 ,Seagate,3.5,SATA 6.0 Gb/s,24,7200,512,https://pcpartpicker.com/product/T7BzK8/seagate-ironwolf-pro-24-tb-35-7200-rpm-internal-hard-drive-st24000nt002
Seagate BarraCuda,$293.50+,Seagate,3.5,SATA 6.0 Gb/s,16,7200,512,https://pcpartpicker.com/product/JqWmP6/seagate-barracuda-16-tb-35-7200-rpm-internal-hard-drive-st16000dm001
Seagate Barracuda Compute,$84.99 ,Seagate,3.5,SATA 6.0 Gb/s,4,5400,256,https://pcpartpicker.com/product/tmTPxr/seagate-barracuda-compute-4-tb-35-7200rpm-internal-hard-drive-st4000dmz04
Western Digital WD Red Pro,$329.99 ,Western Digital,3.5,SATA 6.0 Gb/s,18,7200,512,https://pcpartpicker.com/product/R4RgXL/western-digital-red-pro-18-tb-35-7200rpm-internal-hard-drive-wd181kfgx
Seagate IronWolf Pro,$155.00+,Seagate,3.5,SATA 6.0 Gb/s,4,7200,256,https://pcpartpicker.com/product/vXH8TW/seagate-ironwolf-pro-4-tb-35-7200rpm-internal-hard-drive-st4000ne001
Seagate Desktop HDD,N/A,Seagate,3.5,SATA 6.0 Gb/s,4,5900,64,https://pcpartpicker.com/product/Ty6BD3/seagate-internal-hard-drive-st4000dm000
Western Digital WD Red Pro,$301.99 ,Western Digital,3.5,SATA 6.0 Gb/s,16,7200,256,https://pcpartpicker.com/product/3RjNnQ/western-digital-red-pro-16-tb-35-7200rpm-internal-hard-drive-wd161kfgx
Western Digital WD_BLACK,$149.99 ,Western Digital,3.5,SATA 6.0 Gb/s,6,7200,256,https://pcpartpicker.com/product/hpjRsY/western-digital-wd_black-6-tb-35-7200-rpm-internal-hard-drive-wd6004fzbx
Seagate IronWolf Pro NAS,$349.99 ,Seagate,3.5,SATA 6.0 Gb/s,16,7200,256,https://pcpartpicker.com/product/q9GhP6/seagate-ironwolf-pro-nas-16-tb-35-7200-rpm-internal-hard-drive-st16000nt001
Seagate Exos X22,"$1,268.71 ",Seagate,3.5,SATA 6.0 Gb/s,22,7200,512,https://pcpartpicker.com/product/qfmNnQ/seagate-exos-x22-22-tb-35-7200-rpm-internal-hard-drive-st22000nm002e
Western Digital WD Blue,$269.99 ,Western Digital,3.5,SATA 6.0 Gb/s,12,7200,512,https://pcpartpicker.com/product/mfkqqs/western-digital-wd-blue-12-tb-35-7200-rpm-internal-hard-drive-wd120eagz
Seagate IronWolf NAS,$301.13 ,Seagate,3.5,SATA 6.0 Gb/s,8,5400,256,https://pcpartpicker.com/product/F8nypg/seagate-ironwolf-nas-8-tb-35-5400-rpm-internal-hard-drive-st8000vn002
Western Digital WD Blue,$54.99 ,Western Digital,3.5,SATA 6.0 Gb/s,1,5400,64,https://pcpartpicker.com/product/RddG3C/western-digital-wd-blue-1-tb-35-5400-rpm-internal-hard-drive-wd10earz
Seagate ST6000NM0024,$114.65+,Seagate,3.5,SATA 6.0 Gb/s,6,7200,128,https://pcpartpicker.com/product/9YyFf7/seagate-internal-hard-drive-st6000nm0024
Seagate ST500LM021,$49.00+,Seagate,2.5,SATA 6.0 Gb/s,0.5,7200,32,https://pcpartpicker.com/product/H7ckcf/seagate-internal-hard-drive-st500lm021
Seagate BarraCuda,$89.99+,Seagate,3.5,SATA 6.0 Gb/s,3,7200,64,https://pcpartpicker.com/product/j28H99/seagate-barracuda-3-tb-35-7200rpm-internal-hard-drive-st3000dm008
Western Digital WD_BLACK,$192.48 ,Western Digital,3.5,SATA 6.0 Gb/s,8,7200,256,https://pcpartpicker.com/product/HgTZxr/western-digital-wd_black-8-tb-35-7200-rpm-internal-hard-drive-wd8002fzbx
Western Digital Blue,$37.99 ,Western Digital,2.5,SATA 6.0 Gb/s,1,5400,8,https://pcpartpicker.com/product/N7K7YJ/western-digital-internal-hard-drive-wd10jpvx
Western Digital WD_BLACK,$129.99 ,Western Digital,3.5,SATA 6.0 Gb/s,2,7200,64,https://pcpartpicker.com/product/XtjG3C/western-digital-wd_black-2-tb-35-7200rpm-internal-hard-drive-wd2003fzex
Seagate IronWolf Pro NAS,$129.99 ,Seagate,3.5,SATA 6.0 Gb/s,4,7200,256,https://pcpartpicker.com/product/Kwwypg/seagate-ironwolf-pro-nas-4-tb-35-7200-rpm-internal-hard-drive-st4000nt001
Toshiba DT01ACA100,N/A,Toshiba,3.5,SATA 6.0 Gb/s,1,7200,32,https://pcpartpicker.com/product/C4zv6h/toshiba-internal-hard-drive-dt01aca100
Seagate BarraCuda,$177.00+,Seagate,2.5,SATA 6.0 Gb/s,5,5400,128,https://pcpartpicker.com/product/xCKhP6/seagate-barracuda-5tb-25-5400rpm-internal-hard-drive-st5000lm000
Seagate IronWolf Pro NAS,$219.99 ,Seagate,3.5,SATA 6.0 Gb/s,8,7200,256,https://pcpartpicker.com/product/KMcgXL/seagate-ironwolf-pro-nas-8-tb-35-7200-rpm-internal-hard-drive-st8000nt001
Western Digital Red Plus,$129.99 ,Western Digital,3.5,SATA 6.0 Gb/s,6,5400,256,https://pcpartpicker.com/product/K2KKHx/western-digital-red-plus-6-tb-35-5400-rpm-internal-hard-drive-wd60efpx
Toshiba N300 Pro,$549.99 ,Toshiba,3.5,SATA 6.0 Gb/s,24,7200,1024,https://pcpartpicker.com/product/mGwD4D/toshiba-n300-pro-24-tb-35-7200-rpm-internal-hard-drive-hdwg82exzstb
Seagate ST3000VM002,N/A,Seagate,3.5,SATA 6.0 Gb/s,3,5900,64,https://pcpartpicker.com/product/7PR48d/seagate-internal-hard-drive-st3000vm002
Western Digital WD Red Pro,$499.99+,Western Digital,3.5,SATA 6.0 Gb/s,20,7200,512,https://pcpartpicker.com/product/YgjBD3/western-digital-red-pro-20-tb-35-7200rpm-internal-hard-drive-wd201kfgx
Seagate IronWolf NAS,$269.99 ,Seagate,3.5,SATA 6.0 Gb/s,12,7200,256,https://pcpartpicker.com/product/Y3PKHx/seagate-ironwolf-12-tb-35-7200rpm-internal-hard-drive-st12000vn0008
Seagate Exos M,$579.00 ,Seagate,3.5,SATA 6.0 Gb/s,28,7200,N/A,https://pcpartpicker.com/product/Rwjv6h/seagate-exos-m-28-tb-35-7200-rpm-internal-hard-drive-st28000nm003k
Seagate IronWolf Pro,$529.99 ,Seagate,3.5,SATA 6.0 Gb/s,28,7200,512,https://pcpartpicker.com/product/mZKnTW/seagate-ironwolf-pro-28-tb-35-7200-rpm-internal-hard-drive-st28000nt000
Seagate BarraCuda,$85.99 ,Seagate,2.5,SATA 6.0 Gb/s,2,5400,128,https://pcpartpicker.com/product/2fGj4D/seagate-barracuda-2tb-25-5400rpm-internal-hard-drive-st2000lm015
Western Digital Red Plus,$399.75+,Western Digital,3.5,SATA 6.0 Gb/s,12,7200,256,https://pcpartpicker.com/product/CK2WGX/western-digital-wd-red-plus-12-tb-35-7200rpm-internal-hard-drive-wd120efbx
Western Digital Black,$25.99 ,Western Digital,2.5,SATA 6.0 Gb/s,0.5,7200,32,https://pcpartpicker.com/product/t238TW/western-digital-internal-hard-drive-wd5000lplx
Western Digital Red Plus,$174.99 ,Western Digital,3.5,SATA 6.0 Gb/s,10,7200,256,https://pcpartpicker.com/product/C9KKHx/western-digital-wd-red-plus-10-tb-35-7200rpm-internal-hard-drive-wd101efbx
Seagate IronWolf NAS,$249.99 ,Seagate,3.5,SATA 6.0 Gb/s,12,7200,256,https://pcpartpicker.com/product/G9qPxr/seagate-ironwolf-nas-12-tb-35-7200-rpm-internal-hard-drive-st12000vnz008
Toshiba N300 NAS,$179.99 ,Toshiba,3.5,SATA 6.0 Gb/s,8,7200,512,https://pcpartpicker.com/product/Tf2j4D/toshiba-n300-nas-8-tb-35-7200-rpm-internal-hard-drive-hdwg780xzsta
Western Digital Caviar Blue,$33.00+,Western Digital,3.5,SATA 6.0 Gb/s,0.5,7200,16,https://pcpartpicker.com/product/HGTmP6/western-digital-internal-hard-drive-wd5000aakx
Western Digital Red Plus,$249.99 ,Western Digital,3.5,SATA 6.0 Gb/s,10,7200,512,https://pcpartpicker.com/product/NwXMnQ/western-digital-red-plus-10-tb-35-7200-rpm-internal-hard-drive-wd100efgx
Seagate ST500LM000,$56.99+,Seagate,2.5,SATA 6.0 Gb/s,0.5,5400,64,https://pcpartpicker.com/product/jwLypg/seagate-internal-hard-drive-st500lm000
Seagate BarraCuda,N/A,Seagate,3.5,SATA 6.0 Gb/s,20,7200,512,https://pcpartpicker.com/product/vvNscf/seagate-barracuda-20-tb-35-7200-rpm-internal-hard-drive-st20000dm001
Western Digital Gold,$489.96 ,Western Digital,3.5,SATA 6.0 Gb/s,24,7200,512,https://pcpartpicker.com/product/mtdG3C/western-digital-gold-24-tb-35-7200-rpm-internal-hard-drive-wd241kryz
Seagate Constellation ES,$38.95 ,Seagate,3.5,SATA 6.0 Gb/s,1,7200,64,https://pcpartpicker.com/product/ZwsKHx/seagate-internal-hard-drive-st1000nm0011
Seagate Surveillance HDD,N/A,Seagate,3.5,SATA 6.0 Gb/s,1,5900,64,https://pcpartpicker.com/product/G998TW/seagate-internal-hard-drive-st1000vx003
Western Digital WD Blue,$64.98 ,Western Digital,3.5,SATA 6.0 Gb/s,2,5400,64,https://pcpartpicker.com/product/9M4Zxr/western-digital-wd-blue-2-tb-35-5400-rpm-internal-hard-drive-wd20earz
Seagate IronWolf Pro NAS,N/A,Seagate,3.5,SATA 6.0 Gb/s,22,7200,512,https://pcpartpicker.com/product/bj26Mp/seagate-ironwolf-pro-nas-22-tb-35-7200-rpm-internal-hard-drive-st22000nt001
Seagate Exos X24,$529.99 ,Seagate,3.5,SATA 6.0 Gb/s,24,7200,512,https://pcpartpicker.com/product/psyH99/seagate-exos-x24-24-tb-35-7200-rpm-internal-hard-drive-st24000nm002h
Western Digital Blue,$64.48+,Western Digital,3.5,SATA 6.0 Gb/s,1,7200,64,https://pcpartpicker.com/product/Yrdqqs/western-digital-blue-1-tb-35-7200rpm-internal-hard-drive-wdbh2d0010hnc-nrsn
Western Digital VelociRaptor,$48.00+,Western Digital,2.5,SATA 6.0 Gb/s,1,10000,64,https://pcpartpicker.com/product/jZNp99/western-digital-internal-hard-drive-wd1000chtz
Seagate BarraCuda,$33.50+,Seagate,3.5,SATA 6.0 Gb/s,0.5,7200,16,https://pcpartpicker.com/product/XLQypg/seagate-internal-hard-drive-st500dm002
Seagate Exos X18,$558.24 ,Seagate,3.5,SATA 6.0 Gb/s,18,7200,256,https://pcpartpicker.com/product/xtvqqs/seagate-exos-enterprise-x18-18-tb-35-7200rpm-internal-hard-drive-st18000nm000j
Western Digital WD Red Pro,$269.99 ,Western Digital,3.5,SATA 6.0 Gb/s,10,7200,512,https://pcpartpicker.com/product/Z3cgXL/western-digital-red-pro-10-tb-35-7200-rpm-internal-hard-drive-wd103kfbx
Western Digital WD Red Pro,$224.99 ,Western Digital,3.5,SATA 6.0 Gb/s,8,7200,256,https://pcpartpicker.com/product/TT4Zxr/western-digital-red-pro-8-tb-35-7200-rpm-internal-hard-drive-wd8005ffbx
Western Digital Black,$109.99+,Western Digital,3.5,SATA 6.0 Gb/s,4,7200,64,https://pcpartpicker.com/product/rYn2FT/western-digital-internal-hard-drive-wd4003fzex
