name,Price,manufacturer,Socket,Memory Type,Memory Slots,Form Factor,Memory Max,Chipset,Has Wifi,Color,SATA Ports,M.2 Slots,memoryFormFactor,URL
MSI B650 GAMING PLUS WIFI,$129.99 ,MSI,AM5,DDR5,4,ATX,192 GB,AMD B650,TRUE,Black,4,2,DIMM,https://pcpartpicker.com/product/szfxFT/msi-b650-gaming-plus-wifi-atx-am5-motherboard-b650-gaming-plus-wifi
MSI MAG B850 TOMAHAWK MAX WIFI,$229.99 ,MSI,AM5,DDR5,4,ATX,256 GB,AMD B850,TRUE,Black / Green,4,5,DIMM,https://pcpartpicker.com/product/vjpD4D/msi-mag-b850-tomahawk-max-wifi-atx-am5-motherboard-mag-b850-tomahawk-max-wifi
Gigabyte B850 AORUS ELITE WIFI7,$224.57 ,Gigabyte,AM5,DDR5,4,ATX,256 GB,AMD B850,TRUE,Black,4,3,DIMM,https://pcpartpicker.com/product/72RnTW/gigabyte-b850-aorus-elite-wifi7-atx-am5-motherboard-b850-aorus-elite-wifi7
Asus B650E MAX GAMING WIFI W,$139.99 ,Asus,AM5,DDR5,4,ATX,256 GB,AMD B650E,TRUE,White,4,3,DIMM,https://pcpartpicker.com/product/QtnXsY/asus-b650e-max-gaming-wifi-w-atx-am5-motherboard-b650e-max-gaming-wifi-w
Asus PRIME B550M-A WIFI II,$84.99 ,Asus,AM4,DDR4,4,Micro ATX,128 GB,AMD B550,TRUE,Blue / Silver,4,2,DIMM,https://pcpartpicker.com/product/jQrRsY/asus-prime-b550m-a-wifi-ii-micro-atx-am4-motherboard-prime-b550m-a-wifi-ii
Asus TUF GAMING B850-PLUS WIFI,$218.00 ,Asus,AM5,DDR5,4,ATX,256 GB,AMD B850,TRUE,Black / Silver,4,3,DIMM,https://pcpartpicker.com/product/sRG2FT/asus-tuf-gaming-b850-plus-wifi-atx-am5-motherboard-tuf-gaming-b850-plus-wifi
Gigabyte B650 EAGLE AX,$156.00 ,Gigabyte,AM5,DDR5,4,ATX,192 GB,AMD B650,TRUE,Gray / Black,4,3,DIMM,https://pcpartpicker.com/product/CvcgXL/gigabyte-b650-eagle-ax-atx-am5-motherboard-b650-eagle-ax
Gigabyte B650M GAMING PLUS WIFI,$104.99+,Gigabyte,AM5,DDR5,4,Micro ATX,192 GB,AMD B650,TRUE,Silver / Black,4,2,DIMM,https://pcpartpicker.com/product/9HTZxr/gigabyte-b650m-gaming-plus-wifi-micro-atx-am5-motherboard-b650m-gaming-plus-wf
ASRock B850M Pro-A WiFi,$141.98 ,ASRock,AM5,DDR5,4,Micro ATX,256 GB,AMD B850,TRUE,Black,4,4,DIMM,https://pcpartpicker.com/product/FFdMnQ/asrock-b850m-pro-a-wifi-micro-atx-am5-motherboard-b850m-pro-a-wifi
Gigabyte X870E AORUS ELITE WIFI7,$299.00 ,Gigabyte,AM5,DDR5,4,ATX,256 GB,AMD X870E,TRUE,Black,4,4,DIMM,https://pcpartpicker.com/product/pLtLrH/gigabyte-x870e-aorus-elite-wifi7-atx-am5-motherboard-x870e-aorus-elite-wifi7
