name,price,manufacturer,size,eps8PinCount,pcie6Plus2PinCount,pcie12PinCount,pcie16Pin12VHPWRCount,sataCount,lengthMm,atx4PinCount,pcie6PinCount,pcie8PinCount,ampMolex4PinCount,outputWattage,efficiencyRating,modularity,color,isFanless,URL
MSI MAG A750GL PCIE5,$87.99 ,MSI,ATX,2,3,0,1,8,140,0,0,0,4,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/dbCZxr/msi-mag-a750gl-pcie5-750-w-80-gold-certified-fully-modular-atx-power-supply-mag-a750gl-pcie5
MSI MAG A850GL PCIE5,$119.99 ,MSI,ATX,2,4,0,1,8,140,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/zF4Zxr/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5
MSI MAG A650BN,$72.64 ,MSI,ATX,1,2,0,0,5,140,0,0,0,2,650,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/8LNxFT/msi-mag-a-bn-650-w-80-bronze-certified-atx-power-supply-mag-a650bn
Corsair RM850e (2025),$114.99 ,Corsair,ATX,2,3,0,1,6,140,0,0,0,2,850,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/zBbypg/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020296-na
Corsair SF1000 (2024),$199.99 ,Corsair,SFX,2,4,0,1,8,100,0,0,0,3,1000,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/Y4zXsY/corsair-sf1000-2024-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020257
Montech CENTURY II,$82.90 ,Montech,ATX,2,4,0,1,8,140,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/sqbypg/montech-century-ii-850-w-80-gold-certified-fully-modular-atx-power-supply-century-ii-850w
Corsair RM750e (2025),$93.99 ,Corsair,ATX,2,3,0,1,6,140,0,0,0,2,750,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/jfHp99/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020295-na
MSI MAG A550BN,$62.18 ,MSI,ATX,1,2,0,0,5,140,0,0,0,2,550,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/mnVmP6/msi-mag-a550bn-550-w-80-bronze-certified-atx-power-supply-mag-a550bn
Corsair RM1000x (2024),$169.99 ,Corsair,ATX,2,4,0,1,12,160,0,0,0,6,1000,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/XZsV3C/corsair-rm1000x-2024-1000-w-fully-modular-atx-power-supply-cp-9020271-na
Corsair RM850x (2024),$129.99 ,Corsair,ATX,2,3,0,1,8,160,0,0,0,3,850,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/vY4Zxr/corsair-rm850x-2024-850-w-fully-modular-atx-power-supply-cp-9020270-na
Corsair SF750 (2024),$149.99 ,Corsair,SFX,2,2,0,1,8,100,0,0,0,3,750,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/TsTZxr/corsair-sf750-2024-750-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020284
Thermaltake Smart,$39.67 ,Thermaltake,ATX,1,2,0,0,5,140,0,0,0,6,500,80+,No,N/A,FALSE,https://pcpartpicker.com/product/Wbhj4D/thermaltake-smart-500-w-80-certified-atx-power-supply-ps-spd-0500npcwus-w
MSI MAG A850GL PCIE5,$138.99 ,MSI,ATX,2,4,0,1,8,140,0,0,0,4,850,80+ Gold,Full,White,FALSE,https://pcpartpicker.com/product/LPBzK8/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5-white
Cooler Master MWE GOLD 750 V2 FULL MODULAR,$69.99 ,Cooler Master,ATX,2,4,0,0,12,160,0,0,0,4,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/sscG3C/cooler-master-mwe-gold-v2-750-w-80-gold-certified-fully-modular-atx-power-supply-mpe-7501-afaag-us
