name,manufacturer,price,speed,ramType,speedMHz,formFactor,moduleCount,capacityGBs,color,casLatency,firstWordLatency,voltage,isECC,isRegistered,hasHeatSpreader,URL
Corsair Vengeance RGB 32 GB,Corsair,$407.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,36,12,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/kTJp99/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36
Crucial Pro Overclocking 32 GB,Crucial,$273.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,36,12,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/QF9wrH/crucial-pro-overclocking-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cp2k16g60c36u5b
Corsair Vengeance LPX 16 GB,Corsair,$80.99+,DDR4-3200,DDR4,3200,DIMM,2,16,Black / Yellow,16,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/p6RFf7/corsair-memory-cmk16gx4m2b3200c16
Corsair Vengeance LPX 32 GB,Corsair,$169.99 ,DDR4-3200,DDR4,3200,DIMM,2,32,Black / Yellow,16,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/W6ndnQ/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3200-memory-cmk32gx4m2e3200c16
G.Skill Flare X5 32 GB,G.Skill,$329.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,36,12,1.35,FALSE,FALSE,FALSE,https://pcpartpicker.com/product/pwxRsY/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-fx5
Kingston FURY Beast 32 GB,Kingston,$339.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,30,10,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/q7LdnQ/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbek2-32
Corsair Vengeance RGB 64 GB,Corsair,$879.99 ,DDR5-6000,DDR5,6000,DIMM,2,64,Black,30,10,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/WTMMnQ/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmh64gx5m2b6000c30
Corsair Vengeance 32 GB,Corsair,$427.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black / Gray,30,10,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/JkfxFT/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmk32gx5m2b6000c30
Crucial Pro 32 GB,Crucial,$260.99 ,DDR5-5600,DDR5,5600,DIMM,2,32,Black,46,16.429,1.1,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/3L9wrH/crucial-pro-32-gb-2-x-16-gb-ddr5-5600-cl46-memory-cp2k16g56c46u5
G.Skill Trident Z5 Neo RGB 32 GB,G.Skill,$389.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,30,10,1.35,FALSE,FALSE,FALSE,https://pcpartpicker.com/product/CXKKHx/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-tz5nr
Corsair Vengeance RGB 32 GB,Corsair,$407.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,White / Silver,36,12,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/KXV2FT/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36w
Silicon Power GAMING 16 GB,Silicon Power,$94.97 ,DDR4-3200,DDR4,3200,DIMM,2,16,Black / Gray,16,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/P4FKHx/silicon-power-gaming-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-sp016gxlzu320bdaj5
Kingston FURY Beast 16 GB,Kingston,$82.43 ,DDR5-5200,DDR5,5200,DIMM,2,16,Black,40,15.385,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/hbJgXL/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-5200-cl40-memory-kf552c40bbk2-16
Kingston FURY Beast 16 GB,Kingston,N/A,DDR5-4800,DDR5,4800,DIMM,2,16,Black,38,15.833,1.1,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/9fgFf7/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-4800-cl38-memory-kf548c38bbk2-16
Patriot Viper Venom 32 GB,Patriot,$369.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black / White,30,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/4cCCmG/patriot-viper-venom-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-pvv532g600c30k
TEAMGROUP T-Force Delta RGB 16 GB,TEAMGROUP,$189.99 ,DDR5-6000,DDR5,6000,DIMM,2,16,White,38,12.667,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/P2tLrH/teamgroup-t-force-delta-rgb-16-gb-2-x-8-gb-ddr5-6000-cl38-memory-ff4d516g6000hc38adc01
Corsair Vengeance RGB Pro 16 GB,Corsair,$124.99 ,DDR4-3200,DDR4,3200,DIMM,2,16,Black,16,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/QDhKHx/corsair-vengeance-rgb-pro-16gb-2-x-8gb-ddr4-3200-memory-cmw16gx4m2c3200c16
G.Skill Trident Z5 Neo RGB 64 GB,G.Skill,$699.99 ,DDR5-6000,DDR5,6000,DIMM,2,64,Black / Silver,30,10,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/hRQcCJ/gskill-trident-z5-neo-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5nr
G.Skill Ripjaws V 16 GB,G.Skill,$104.99 ,DDR4-3200,DDR4,3200,DIMM,2,16,Black,16,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/Cf98TW/gskill-ripjaws-v-series-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-f4-3200c16d-16gvkb
Crucial Pro Overclocking 32 GB,Crucial,$299.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,White,36,12,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/63TZxr/crucial-pro-overclocking-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cp2k16g60c36u5w
TEAMGROUP T-Force Delta RGB 32 GB,TEAMGROUP,$456.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,White,30,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/WFVmP6/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff4d532g6000hc30dc01
TEAMGROUP T-Create Expert 32 GB,TEAMGROUP,$429.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,30,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/H9CZxr/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ctced532g6000hc30dc01
Kingston FURY Beast RGB 32 GB,Kingston,$359.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,30,10,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/NWhv6h/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbeak2-32
TEAMGROUP T-Force Delta RGB 32 GB,TEAMGROUP,$335.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,30,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/2JLFf7/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff3d532g6000hc30dc01
Corsair Vengeance 16 GB,Corsair,N/A,DDR5-5200,DDR5,5200,DIMM,2,16,Black,40,15.385,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/H6rqqs/corsair-vengeance-16-gb-2-x-8-gb-ddr5-5200-cl40-memory-cmk16gx5m2b5200c40
G.Skill Flare X5 32 GB,G.Skill,$379.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,30,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/LBstt6/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-fx5
Corsair Vengeance RGB Pro 32 GB,Corsair,$295.74+,DDR4-3600,DDR4,3600,DIMM,2,32,Black,18,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18
Crucial Classic 16 GB,Crucial,$117.99 ,DDR5-5600,DDR5,5600,DIMM,2,16,Black,46,16.429,1.1,FALSE,FALSE,FALSE,https://pcpartpicker.com/product/y4BzK8/crucial-classic-16-gb-2-x-8-gb-ddr5-5600-cl46-memory-ct2k8g56c46u5
Corsair Vengeance 64 GB,Corsair,$755.99 ,DDR5-5200,DDR5,5200,DIMM,2,64,Black,40,15.385,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/TJZ9TW/corsair-vengeance-64-gb-2-x-32-gb-ddr5-5200-cl40-memory-cmk64gx5m2b5200c40
Corsair Vengeance RGB 32 GB,Corsair,$441.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Gray,30,10,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/mjt9TW/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmh32gx5m2b6000z30k
Crucial Pro 32 GB,Crucial,$292.99 ,DDR5-6400,DDR5,6400,DIMM,2,32,Black,38,11.875,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/TQjRsY/crucial-pro-32-gb-2-x-16-gb-ddr5-6400-cl38-memory-cp2k16g64c38u5b
Patriot Viper Elite 5 16 GB,Patriot,$149.99 ,DDR5-6000,DDR5,6000,DIMM,1,16,White,30,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/G79nTW/patriot-viper-elite-5-16-gb-1-x-16-gb-ddr5-6000-cl30-memory-veb516g6030w
G.Skill Ripjaws V 32 GB,G.Skill,$189.99 ,DDR4-3200,DDR4,3200,DIMM,2,32,Black,16,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/kXbkcf/gskill-ripjaws-v-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-f4-3200c16d-32gvk
TEAMGROUP T-Force DELTAα RGB 32 GB,TEAMGROUP,$268.49 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,38,12.667,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/VGGhP6/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl38-memory-ff7d532g6000hc38adc01
Patriot Viper Venom 32 GB,Patriot,$344.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black / White,36,12,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/8fWzK8/patriot-viper-venom-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-pvv532g600c36k
Corsair Vengeance 32 GB,Corsair,$400.99 ,DDR5-5600,DDR5,5600,DIMM,2,32,Gray,36,12.857,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/dcJgXL/corsair-vengeance-32-gb-2-x-16-gb-ddr5-5600-cl36-memory-cmk32gx5m2b5600z36
Crucial CT2K8G48C40U5 16 GB,Crucial,$111.99 ,DDR5-4800,DDR5,4800,DIMM,2,16,Black,40,16.667,1.1,FALSE,FALSE,FALSE,https://pcpartpicker.com/product/X7Z9TW/crucial-16-gb-2-x-8-gb-ddr5-4800-cl40-memory-ct2k8g48c40u5
Kingston FURY Beast 16 GB,Kingston,$75.00+,DDR4-3200,DDR4,3200,DIMM,2,16,Black,16,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/6YfnTW/kingston-fury-beast-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-kf432c16bbk216
TEAMGROUP T-Force Vulcan Z 16 GB,TEAMGROUP,$94.99 ,DDR4-3200,DDR4,3200,DIMM,2,16,Black,16,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/z3VD4D/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3200-memory-tlzgd416g3200hc16cdc01
Kingston FURY Beast 16 GB,Kingston,N/A,DDR5-5600,DDR5,5600,DIMM,2,16,Black,40,14.286,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/gG8bt6/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-5600-cl40-memory-kf556c40bbk2-16
Corsair Vengeance RGB 32 GB,Corsair,$407.99 ,DDR5-6400,DDR5,6400,DIMM,2,32,Black,36,11.25,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/j6sV3C/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6400-cl36-memory-cmh32gx5m2b6400c36
Corsair Vengeance LPX 16 GB,Corsair,$96.99 ,DDR4-2666,DDR4,2666,DIMM,2,16,Black,16,12.003,1.2,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/CK66Mp/corsair-vengeance-lpx-16-gb-2-x-8-gb-ddr4-2666-memory-cmk16gx4m2z2666c16
