name,manufacturer,price,interfaceType,,formFactor,protocol,capacity,capacityGBs,isNVMe,URL
Samsung 990 Pro,Samsung,$189.95 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/34ytt6/samsung-990-pro-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p2t0bw
Kingston NV3,Kingston,$106.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/tmbRsY/kingston-nv3-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv3s1000g
Crucial P3 Plus,Crucial,$179.50+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/chzhP6/crucial-p3-plus-1-tb-m2-2280-nvme-solid-state-drive-ct1000p3pssd8
Samsung 990 EVO Plus,Samsung,$176.99 ,M.2 PCIe 5.0 X2,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/hpqrxr/samsung-990-evo-plus-2-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9s2t0bw
Samsung 990 Pro,Samsung,$329.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/RKYmP6/samsung-990-pro-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p4t0bw
Samsung 990 Pro,Samsung,$109.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/FsqPxr/samsung-990-pro-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p1t0bw
Western Digital WD_Black SN850X,Western Digital,$199.00+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/crKKHx/western-digital-wd_black-sn850x-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t2x0e
Samsung 990 EVO Plus,Samsung,$104.95 ,M.2 PCIe 5.0 X2,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/XQFmP6/samsung-990-evo-plus-1-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9s1t0bw
Samsung 9100 PRO,Samsung,$885.11 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,8 TB,8000,TRUE,https://pcpartpicker.com/product/J6DnTW/samsung-9100-pro-8-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-mz-vap8t0bam
Samsung 9100 PRO,Samsung,$219.35 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/dKXMnQ/samsung-9100-pro-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-mz-vap2t0bam
Crucial P3 Plus,Crucial,$234.75 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/yGZ9TW/crucial-p3-plus-2-tb-m2-2280-nvme-solid-state-drive-ct2000p3pssd8
Western Digital WD_Black SN850X,Western Digital,$114.95 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/DyhFf7/western-digital-wd_black-sn850x-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds100t2x0e
Samsung 9100 PRO,Samsung,$399.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/PRKnTW/samsung-9100-pro-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-mz-vap4t0bam
